"Step","date_2024-10-08 10:59:21_Consistency_False_init_model_ircnn_color_pertubation_True_task_debur_lr_3e-06_rank_10 - psnr","date_2024-10-08 10:59:21_Consistency_False_init_model_ircnn_color_pertubation_True_task_debur_lr_3e-06_rank_10 - psnr__MIN","date_2024-10-08 10:59:21_Consistency_False_init_model_ircnn_color_pertubation_True_task_debur_lr_3e-06_rank_10 - psnr__MAX"
"3","26.109201431274414","26.109201431274414","26.109201431274414"
"8","26.90521240234375","26.90521240234375","26.90521240234375"
"12","26.465665817260742","26.465665817260742","26.465665817260742"
"16","26.269189834594727","26.269189834594727","26.269189834594727"
"20","24.89763069152832","24.89763069152832","24.89763069152832"
"24","25.415536880493164","25.415536880493164","25.415536880493164"
"28","25.458858489990234","25.458858489990234","25.458858489990234"
"32","25.81610870361328","25.81610870361328","25.81610870361328"
"36","26.027250289916992","26.027250289916992","26.027250289916992"
"40","26.112133026123047","26.112133026123047","26.112133026123047"
"44","28.817611694335938","28.817611694335938","28.817611694335938"
"48","24.50823211669922","24.50823211669922","24.50823211669922"
"52","29.97236442565918","29.97236442565918","29.97236442565918"
"56","24.510652542114258","24.510652542114258","24.510652542114258"
"60","25.35442352294922","25.35442352294922","25.35442352294922"
"64","25.191463470458984","25.191463470458984","25.191463470458984"
"68","25.669479370117188","25.669479370117188","25.669479370117188"
"72","25.867319107055664","25.867319107055664","25.867319107055664"
"76","26.279739379882812","26.279739379882812","26.279739379882812"
"80","25.905189514160156","25.905189514160156","25.905189514160156"
"84","24.65968894958496","24.65968894958496","24.65968894958496"
"88","25.366857528686523","25.366857528686523","25.366857528686523"
"92","25.966413497924805","25.966413497924805","25.966413497924805"
"96","24.128053665161133","24.128053665161133","24.128053665161133"
"100","25.34416961669922","25.34416961669922","25.34416961669922"
"104","24.973413467407227","24.973413467407227","24.973413467407227"
"108","30.763547897338867","30.763547897338867","30.763547897338867"
"112","25.660476684570312","25.660476684570312","25.660476684570312"
"116","26.623640060424805","26.623640060424805","26.623640060424805"
"120","25.603076934814453","25.603076934814453","25.603076934814453"
"124","25.75430679321289","25.75430679321289","25.75430679321289"
"128","24.877731323242188","24.877731323242188","24.877731323242188"
"132","26.33880615234375","26.33880615234375","26.33880615234375"
"136","26.861812591552734","26.861812591552734","26.861812591552734"
"140","25.26677894592285","25.26677894592285","25.26677894592285"
"144","26.36621856689453","26.36621856689453","26.36621856689453"
"148","26.116741180419922","26.116741180419922","26.116741180419922"
"152","25.935590744018555","25.935590744018555","25.935590744018555"
"156","25.571693420410156","25.571693420410156","25.571693420410156"
"160","25.80613136291504","25.80613136291504","25.80613136291504"
"164","26.4267635345459","26.4267635345459","26.4267635345459"
"168","26.19060707092285","26.19060707092285","26.19060707092285"
"172","25.42086410522461","25.42086410522461","25.42086410522461"
"176","26.338420867919922","26.338420867919922","26.338420867919922"
"180","25.681182861328125","25.681182861328125","25.681182861328125"
"184","26.29947853088379","26.29947853088379","26.29947853088379"
"188","27.659420013427734","27.659420013427734","27.659420013427734"
"192","26.65825080871582","26.65825080871582","26.65825080871582"
"196","26.574268341064453","26.574268341064453","26.574268341064453"
"200","24.99359893798828","24.99359893798828","24.99359893798828"
"204","25.74387550354004","25.74387550354004","25.74387550354004"
"208","25.82201385498047","25.82201385498047","25.82201385498047"
"212","25.12057113647461","25.12057113647461","25.12057113647461"
"216","25.257095336914062","25.257095336914062","25.257095336914062"
"220","25.385587692260742","25.385587692260742","25.385587692260742"
"224","25.219722747802734","25.219722747802734","25.219722747802734"
"228","25.613807678222656","25.613807678222656","25.613807678222656"
"232","25.522558212280273","25.522558212280273","25.522558212280273"
"236","25.983592987060547","25.983592987060547","25.983592987060547"
"240","25.669536590576172","25.669536590576172","25.669536590576172"
"244","25.377599716186523","25.377599716186523","25.377599716186523"
"248","25.88894271850586","25.88894271850586","25.88894271850586"
"252","26.214818954467773","26.214818954467773","26.214818954467773"
"256","26.73778533935547","26.73778533935547","26.73778533935547"
"260","25.286195755004883","25.286195755004883","25.286195755004883"
"264","24.82022476196289","24.82022476196289","24.82022476196289"
"268","24.751220703125","24.751220703125","24.751220703125"
"272","25.8101863861084","25.8101863861084","25.8101863861084"
"276","25.530155181884766","25.530155181884766","25.530155181884766"
"280","25.886932373046875","25.886932373046875","25.886932373046875"
"284","25.307167053222656","25.307167053222656","25.307167053222656"
"288","25.63980484008789","25.63980484008789","25.63980484008789"
"292","25.879295349121094","25.879295349121094","25.879295349121094"
"296","28.18465232849121","28.18465232849121","28.18465232849121"
"300","25.989532470703125","25.989532470703125","25.989532470703125"
"304","24.858781814575195","24.858781814575195","24.858781814575195"
"308","26.456289291381836","26.456289291381836","26.456289291381836"
"312","26.807666778564453","26.807666778564453","26.807666778564453"
"316","25.7393741607666","25.7393741607666","25.7393741607666"
"320","25.875913619995117","25.875913619995117","25.875913619995117"
"324","25.63044548034668","25.63044548034668","25.63044548034668"
"328","26.55320167541504","26.55320167541504","26.55320167541504"
"332","26.08057403564453","26.08057403564453","26.08057403564453"
"336","24.61240577697754","24.61240577697754","24.61240577697754"
"340","26.73644256591797","26.73644256591797","26.73644256591797"
"344","25.666044235229492","25.666044235229492","25.666044235229492"
"348","25.936479568481445","25.936479568481445","25.936479568481445"
"352","25.58699607849121","25.58699607849121","25.58699607849121"
"356","25.498342514038086","25.498342514038086","25.498342514038086"
"360","24.802024841308594","24.802024841308594","24.802024841308594"
"364","25.866670608520508","25.866670608520508","25.866670608520508"
"368","25.876848220825195","25.876848220825195","25.876848220825195"
"372","25.65565299987793","25.65565299987793","25.65565299987793"
"376","24.937742233276367","24.937742233276367","24.937742233276367"
"380","25.417430877685547","25.417430877685547","25.417430877685547"
"384","25.602336883544922","25.602336883544922","25.602336883544922"
"388","25.528364181518555","25.528364181518555","25.528364181518555"
"392","26.06441307067871","26.06441307067871","26.06441307067871"
"396","29.576812744140625","29.576812744140625","29.576812744140625"
"400","24.8531436920166","24.8531436920166","24.8531436920166"
"404","25.94381332397461","25.94381332397461","25.94381332397461"
"409","26.175254821777344","26.175254821777344","26.175254821777344"
"413","24.959671020507812","24.959671020507812","24.959671020507812"
"417","24.978458404541016","24.978458404541016","24.978458404541016"
"421","26.95802879333496","26.95802879333496","26.95802879333496"
"425","26.9754581451416","26.9754581451416","26.9754581451416"
"429","25.83663558959961","25.83663558959961","25.83663558959961"
"433","25.49053192138672","25.49053192138672","25.49053192138672"
"437","25.870779037475586","25.870779037475586","25.870779037475586"
"441","25.162643432617188","25.162643432617188","25.162643432617188"
"445","25.91047477722168","25.91047477722168","25.91047477722168"
"449","26.657255172729492","26.657255172729492","26.657255172729492"
"453","25.261821746826172","25.261821746826172","25.261821746826172"
"457","24.7899227142334","24.7899227142334","24.7899227142334"
"461","24.717695236206055","24.717695236206055","24.717695236206055"
"465","25.972612380981445","25.972612380981445","25.972612380981445"
"469","25.590286254882812","25.590286254882812","25.590286254882812"
"473","26.425403594970703","26.425403594970703","26.425403594970703"
"477","25.82180404663086","25.82180404663086","25.82180404663086"
"481","26.418439865112305","26.418439865112305","26.418439865112305"
"485","25.07522201538086","25.07522201538086","25.07522201538086"
"489","25.65704345703125","25.65704345703125","25.65704345703125"
"493","25.956348419189453","25.956348419189453","25.956348419189453"
"497","24.799514770507812","24.799514770507812","24.799514770507812"
"501","25.271099090576172","25.271099090576172","25.271099090576172"
"505","27.602439880371094","27.602439880371094","27.602439880371094"
"509","26.246700286865234","26.246700286865234","26.246700286865234"
"513","26.73576545715332","26.73576545715332","26.73576545715332"
"517","24.816503524780273","24.816503524780273","24.816503524780273"
"521","24.942310333251953","24.942310333251953","24.942310333251953"
"525","26.304058074951172","26.304058074951172","26.304058074951172"
