"Step","2024-10-14 08:45:40_Cons_False_init_model_drunet_color_pertub_True_task_debur_lr_3e-05_rank_10_max_iter_unfold_3 - psnr","2024-10-14 08:45:40_Cons_False_init_model_drunet_color_pertub_True_task_debur_lr_3e-05_rank_10_max_iter_unfold_3 - psnr__MIN","2024-10-14 08:45:40_Cons_False_init_model_drunet_color_pertub_True_task_debur_lr_3e-05_rank_10_max_iter_unfold_3 - psnr__MAX"
"5","30.977981567382812","30.977981567382812","30.977981567382812"
"12","31.19316291809082","31.19316291809082","31.19316291809082"
"18","29.468612670898438","29.468612670898438","29.468612670898438"
"24","30.566669464111328","30.566669464111328","30.566669464111328"
"30","29.941547393798828","29.941547393798828","29.941547393798828"
"36","30.244226455688477","30.244226455688477","30.244226455688477"
"42","31.014278411865234","31.014278411865234","31.014278411865234"
"48","29.723073959350586","29.723073959350586","29.723073959350586"
"54","30.499649047851562","30.499649047851562","30.499649047851562"
"60","29.778316497802734","29.778316497802734","29.778316497802734"
"66","28.527795791625977","28.527795791625977","28.527795791625977"
"72","31.072895050048828","31.072895050048828","31.072895050048828"
"78","29.82121467590332","29.82121467590332","29.82121467590332"
"84","30.399879455566406","30.399879455566406","30.399879455566406"
"90","29.406492233276367","29.406492233276367","29.406492233276367"
"96","29.07569122314453","29.07569122314453","29.07569122314453"
"102","29.44430160522461","29.44430160522461","29.44430160522461"
"108","30.665752410888672","30.665752410888672","30.665752410888672"
"114","30.46100425720215","30.46100425720215","30.46100425720215"
"120","31.4300537109375","31.4300537109375","31.4300537109375"
"126","29.526248931884766","29.526248931884766","29.526248931884766"
"132","28.869548797607422","28.869548797607422","28.869548797607422"
"138","29.98754119873047","29.98754119873047","29.98754119873047"
"144","30.402515411376953","30.402515411376953","30.402515411376953"
"150","33.76475524902344","33.76475524902344","33.76475524902344"
"156","31.151382446289062","31.151382446289062","31.151382446289062"
"162","29.423980712890625","29.423980712890625","29.423980712890625"
"168","29.79973602294922","29.79973602294922","29.79973602294922"
"174","31.51223373413086","31.51223373413086","31.51223373413086"
"180","34.985862731933594","34.985862731933594","34.985862731933594"
"186","30.904512405395508","30.904512405395508","30.904512405395508"
"192","30.764034271240234","30.764034271240234","30.764034271240234"
"198","31.275529861450195","31.275529861450195","31.275529861450195"
"204","30.107295989990234","30.107295989990234","30.107295989990234"
"210","31.019174575805664","31.019174575805664","31.019174575805664"
"216","29.709150314331055","29.709150314331055","29.709150314331055"
"222","37.144744873046875","37.144744873046875","37.144744873046875"
"228","30.681772232055664","30.681772232055664","30.681772232055664"
"234","29.448978424072266","29.448978424072266","29.448978424072266"
"240","30.780532836914062","30.780532836914062","30.780532836914062"
"246","30.379735946655273","30.379735946655273","30.379735946655273"
"252","29.97293472290039","29.97293472290039","29.97293472290039"
"258","30.121896743774414","30.121896743774414","30.121896743774414"
"264","30.543991088867188","30.543991088867188","30.543991088867188"
"270","30.007610321044922","30.007610321044922","30.007610321044922"
"276","30.66376495361328","30.66376495361328","30.66376495361328"
"282","30.0532169342041","30.0532169342041","30.0532169342041"
"288","29.4520263671875","29.4520263671875","29.4520263671875"
"294","33.8077392578125","33.8077392578125","33.8077392578125"
"300","29.687604904174805","29.687604904174805","29.687604904174805"
"306","29.865827560424805","29.865827560424805","29.865827560424805"
"312","33.697357177734375","33.697357177734375","33.697357177734375"
"318","29.756986618041992","29.756986618041992","29.756986618041992"
"324","29.516216278076172","29.516216278076172","29.516216278076172"
"330","29.830713272094727","29.830713272094727","29.830713272094727"
"336","30.381614685058594","30.381614685058594","30.381614685058594"
"342","30.281246185302734","30.281246185302734","30.281246185302734"
"348","29.781173706054688","29.781173706054688","29.781173706054688"
"354","30.063325881958008","30.063325881958008","30.063325881958008"
"360","29.594745635986328","29.594745635986328","29.594745635986328"
"366","29.77823257446289","29.77823257446289","29.77823257446289"
"372","31.05609130859375","31.05609130859375","31.05609130859375"
"378","29.608287811279297","29.608287811279297","29.608287811279297"
"384","30.012285232543945","30.012285232543945","30.012285232543945"
"390","30.013282775878906","30.013282775878906","30.013282775878906"
"396","30.128292083740234","30.128292083740234","30.128292083740234"
"402","30.037017822265625","30.037017822265625","30.037017822265625"
"408","33.82493591308594","33.82493591308594","33.82493591308594"
"414","30.05860137939453","30.05860137939453","30.05860137939453"
"420","29.997798919677734","29.997798919677734","29.997798919677734"
"426","30.06474494934082","30.06474494934082","30.06474494934082"
"432","29.432641983032227","29.432641983032227","29.432641983032227"
"438","29.317548751831055","29.317548751831055","29.317548751831055"
"444","30.09698486328125","30.09698486328125","30.09698486328125"
"450","31.96249771118164","31.96249771118164","31.96249771118164"
"456","29.788084030151367","29.788084030151367","29.788084030151367"
"462","30.251956939697266","30.251956939697266","30.251956939697266"
"468","30.089427947998047","30.089427947998047","30.089427947998047"
"474","29.725711822509766","29.725711822509766","29.725711822509766"
"480","30.017852783203125","30.017852783203125","30.017852783203125"
"486","29.855209350585938","29.855209350585938","29.855209350585938"
"492","31.302967071533203","31.302967071533203","31.302967071533203"
"498","30.210220336914062","30.210220336914062","30.210220336914062"
"504","29.83893394470215","29.83893394470215","29.83893394470215"
"510","29.71818733215332","29.71818733215332","29.71818733215332"
"516","29.866058349609375","29.866058349609375","29.866058349609375"
"522","29.50392723083496","29.50392723083496","29.50392723083496"
"528","30.351158142089844","30.351158142089844","30.351158142089844"
"534","30.394943237304688","30.394943237304688","30.394943237304688"
"540","32.66366958618164","32.66366958618164","32.66366958618164"
"546","31.083280563354492","31.083280563354492","31.083280563354492"
"552","30.119461059570312","30.119461059570312","30.119461059570312"
"558","30.46229362487793","30.46229362487793","30.46229362487793"
"564","30.29085350036621","30.29085350036621","30.29085350036621"
"570","30.080059051513672","30.080059051513672","30.080059051513672"
"576","30.028282165527344","30.028282165527344","30.028282165527344"
"582","31.363353729248047","31.363353729248047","31.363353729248047"
"588","29.725021362304688","29.725021362304688","29.725021362304688"
"594","30.749113082885742","30.749113082885742","30.749113082885742"
"600","29.71097183227539","29.71097183227539","29.71097183227539"
"606","28.86629295349121","28.86629295349121","28.86629295349121"
"613","32.07330322265625","32.07330322265625","32.07330322265625"
"619","28.70506477355957","28.70506477355957","28.70506477355957"
"625","30.414400100708008","30.414400100708008","30.414400100708008"
"631","29.790237426757812","29.790237426757812","29.790237426757812"
"637","29.744869232177734","29.744869232177734","29.744869232177734"
"643","31.448823928833008","31.448823928833008","31.448823928833008"
"649","30.217878341674805","30.217878341674805","30.217878341674805"
"655","29.433767318725586","29.433767318725586","29.433767318725586"
"661","30.707904815673828","30.707904815673828","30.707904815673828"
"667","30.939983367919922","30.939983367919922","30.939983367919922"
"673","29.837915420532227","29.837915420532227","29.837915420532227"
"679","28.3768253326416","28.3768253326416","28.3768253326416"
"685","29.84886360168457","29.84886360168457","29.84886360168457"
"691","31.531219482421875","31.531219482421875","31.531219482421875"
"697","28.75448989868164","28.75448989868164","28.75448989868164"
"703","30.246896743774414","30.246896743774414","30.246896743774414"
"709","29.774269104003906","29.774269104003906","29.774269104003906"
"715","30.357534408569336","30.357534408569336","30.357534408569336"
"721","30.64040756225586","30.64040756225586","30.64040756225586"
"727","30.09518051147461","30.09518051147461","30.09518051147461"
"733","30.212757110595703","30.212757110595703","30.212757110595703"
"739","29.869260787963867","29.869260787963867","29.869260787963867"
"745","30.69965362548828","30.69965362548828","30.69965362548828"
"751","29.687114715576172","29.687114715576172","29.687114715576172"
"757","30.016109466552734","30.016109466552734","30.016109466552734"
"763","30.134307861328125","30.134307861328125","30.134307861328125"
"769","29.44601058959961","29.44601058959961","29.44601058959961"
"775","30.513381958007812","30.513381958007812","30.513381958007812"
"781","30.950824737548828","30.950824737548828","30.950824737548828"
"787","29.308507919311523","29.308507919311523","29.308507919311523"
"793","30.37065315246582","30.37065315246582","30.37065315246582"
"799","30.583786010742188","30.583786010742188","30.583786010742188"
"805","30.310466766357422","30.310466766357422","30.310466766357422"
"811","29.957538604736328","29.957538604736328","29.957538604736328"
"817","30.113727569580078","30.113727569580078","30.113727569580078"
"823","30.612096786499023","30.612096786499023","30.612096786499023"
"829","29.83612823486328","29.83612823486328","29.83612823486328"
"835","29.770248413085938","29.770248413085938","29.770248413085938"
"841","29.971107482910156","29.971107482910156","29.971107482910156"
"847","30.805522918701172","30.805522918701172","30.805522918701172"
"853","30.233604431152344","30.233604431152344","30.233604431152344"
"859","30.089853286743164","30.089853286743164","30.089853286743164"
"865","29.572002410888672","29.572002410888672","29.572002410888672"
"871","31.60846519470215","31.60846519470215","31.60846519470215"
"877","29.840625762939453","29.840625762939453","29.840625762939453"
"883","32.49493408203125","32.49493408203125","32.49493408203125"
"889","30.23984146118164","30.23984146118164","30.23984146118164"
"895","30.944564819335938","30.944564819335938","30.944564819335938"
"901","30.85508155822754","30.85508155822754","30.85508155822754"
"907","30.037076950073242","30.037076950073242","30.037076950073242"
"913","29.96371841430664","29.96371841430664","29.96371841430664"
"919","29.701692581176758","29.701692581176758","29.701692581176758"
"925","30.002849578857422","30.002849578857422","30.002849578857422"
"931","31.133960723876953","31.133960723876953","31.133960723876953"
"937","30.56663703918457","30.56663703918457","30.56663703918457"
"943","30.88802719116211","30.88802719116211","30.88802719116211"
"949","31.38072967529297","31.38072967529297","31.38072967529297"
"955","30.13890266418457","30.13890266418457","30.13890266418457"
"961","29.490022659301758","29.490022659301758","29.490022659301758"
"967","30.55516815185547","30.55516815185547","30.55516815185547"
"973","31.621788024902344","31.621788024902344","31.621788024902344"
"979","29.198911666870117","29.198911666870117","29.198911666870117"
"985","31.883068084716797","31.883068084716797","31.883068084716797"
"991","30.85092544555664","30.85092544555664","30.85092544555664"
"997","30.952682495117188","30.952682495117188","30.952682495117188"
"1003","30.527040481567383","30.527040481567383","30.527040481567383"
"1009","30.58039093017578","30.58039093017578","30.58039093017578"
"1015","29.756746292114258","29.756746292114258","29.756746292114258"
"1021","28.09479522705078","28.09479522705078","28.09479522705078"
"1027","30.007156372070312","30.007156372070312","30.007156372070312"
"1033","30.787755966186523","30.787755966186523","30.787755966186523"
"1039","30.950565338134766","30.950565338134766","30.950565338134766"
"1045","31.945533752441406","31.945533752441406","31.945533752441406"
"1051","30.06867218017578","30.06867218017578","30.06867218017578"
"1057","29.548015594482422","29.548015594482422","29.548015594482422"
"1063","30.377582550048828","30.377582550048828","30.377582550048828"
"1069","30.514232635498047","30.514232635498047","30.514232635498047"
"1075","31.545185089111328","31.545185089111328","31.545185089111328"
"1081","30.343002319335938","30.343002319335938","30.343002319335938"
"1087","29.548471450805664","29.548471450805664","29.548471450805664"
"1093","30.839738845825195","30.839738845825195","30.839738845825195"
"1099","30.209590911865234","30.209590911865234","30.209590911865234"
"1105","30.14927101135254","30.14927101135254","30.14927101135254"
"1111","29.377450942993164","29.377450942993164","29.377450942993164"
"1117","30.722064971923828","30.722064971923828","30.722064971923828"
"1123","30.594005584716797","30.594005584716797","30.594005584716797"
"1129","30.70854949951172","30.70854949951172","30.70854949951172"
"1135","29.85108184814453","29.85108184814453","29.85108184814453"
"1141","29.247623443603516","29.247623443603516","29.247623443603516"
"1147","30.58088493347168","30.58088493347168","30.58088493347168"
"1153","30.451847076416016","30.451847076416016","30.451847076416016"
"1159","29.043638229370117","29.043638229370117","29.043638229370117"
"1165","30.603647232055664","30.603647232055664","30.603647232055664"
"1171","29.13469696044922","29.13469696044922","29.13469696044922"
"1177","30.76778221130371","30.76778221130371","30.76778221130371"
"1183","30.362201690673828","30.362201690673828","30.362201690673828"
